Model;Scenario;Region;Variable;Unit;2030;2050;2100
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.526711736;1.828234679;1.299729017
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.616706203;1.97333578;1.461439772
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.967141116;2.624063482;2.184078291
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.499738894;1.659844102;1.287237111
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.591363869;1.794493458;1.445826904
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.957259064;2.357260504;2.132934594
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.510105974;1.754664836;1.286157674
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.602708129;1.897217677;1.442528991
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_full_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.958582902;2.508645816;2.152772653
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_red_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.473949747;1.516379758;1.267645159
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_red_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.56162362;1.644974292;1.416248533
REMIND-MAgPIE 1.7-3.0;PEP_1p5C_red_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.913625146;2.164579879;2.073226247
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.52706528;1.90093;1.591550002
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.6173602;2.046896639;1.787079742
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.967392467;2.718899644;2.588260218
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.505409305;1.755145461;1.577368985
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.5975912;1.894836305;1.765828841
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.962532505;2.493538743;2.529883242
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.510225431;1.809772446;1.575798335
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.602863084;1.950271691;1.766462591
REMIND-MAgPIE 1.7-3.0;PEP_2C_full_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.958812112;2.589497368;2.538538373
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.526188198;1.823561001;1.570928415
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.615900299;1.968997692;1.754940941
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_NDC;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.966400629;2.617376273;2.533010413
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.500541176;1.670326296;1.558851664
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.592054368;1.808586457;1.736297503
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_eff;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.958457581;2.372991103;2.472292883
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED;°C;1.508902247;1.749688208;1.554963892
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66;°C;1.601239838;1.892671105;1.735746157
REMIND-MAgPIE 1.7-3.0;PEP_2C_red_netzero;World;AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95;°C;1.956839994;2.504118185;2.490238879